A,B,C,D,E,score
0.07315105,0.2853061,0.9516218,0.38395035,0.9307511,64.383835
0.6497732,0.17605436,0.07223481,0.6524992,0.56399757,77.70622
0.73841846,0.6223231,0.498137,0.5849172,0.36859286,81.913086
0.8289202,0.4120704,0.39310372,0.0896377,0.29653847,70.917984
0.22509593,0.24887079,0.67810553,0.9793823,0.28817773,70.50694
0.73975915,0.008874416,0.03983456,0.88028055,0.65671504,72.856415
0.16484404,0.065710306,0.910302,0.5707018,0.32950634,66.17641
0.11355364,0.77540463,0.7133417,0.6286515,0.6282613,69.59267
0.121760905,0.6585971,0.2919258,0.6250223,0.4814734,74.99007
0.25624698,0.59615815,0.91220915,0.005287826,0.2030496,65.29475
0.11289197,0.8181461,0.1927942,0.21279466,0.56881243,69.290436
0.51191306,0.744746,0.15067363,0.09224576,0.18392998,71.17392
0.7546891,0.9605161,0.6714826,0.67392075,0.6104329,74.02113
0.12632215,0.77253425,0.40890902,0.26107687,0.9804728,67.50925
0.93059856,0.53445864,0.66626954,0.07555443,0.71999204,67.96051
0.17011946,0.368778,0.094729245,0.7024362,0.44537008,74.441635
0.86892414,0.59472,0.09317851,0.27012193,0.31889522,75.12778
0.40437543,0.21313995,0.5440269,0.34109926,0.34346193,71.69318
0.85563785,0.71271235,0.73068815,0.73128796,0.3518378,75.3931
0.22408193,0.6479545,0.49880582,0.47281092,0.5069184,73.06347
0.6619392,0.0995093,0.37294477,0.8682234,0.5194643,76.09506
0.93505144,0.6532331,0.27679908,0.40122497,0.6096491,77.02615
0.23760098,0.05748868,0.941178,0.8601623,0.8031378,66.624626
0.6452066,0.08200014,0.4910338,0.07640588,0.38892835,68.312935
0.67754006,0.78735703,0.92684376,0.7231655,0.7996743,69.95514
0.16131431,0.9137634,0.40643173,0.42072725,0.060356617,69.955185
0.3660609,0.069709,0.46138746,0.4711756,0.9159355,68.824486
0.43261498,0.5218027,0.9165077,0.56990314,0.26010805,69.90428
0.5367225,0.45593888,0.22772753,0.32513368,0.39145213,76.64488
